,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,14.466666666666667,14.466666666666667,"(7, 9)",0.00012603219926848915,200,6,20,1,0.5,0.8733333333333333,0.3733333333333333,00:01:7.032160520553589
1,500,15,30,0.025,5e-05,13.6,13.6,"(7, 9)",6.451840695819408e-05,200,6,20,1,0.49333333333333335,0.6933333333333334,0.2,00:01:42.67811727523804
2,500,15,30,0.025,5e-05,15.0,15.0,"(7, 9)",0.00014294894309342757,200,6,20,1,0.5066666666666667,0.96,0.45333333333333325,00:01:4.564487934112549
3,500,15,30,0.025,5e-05,16.266666666666666,16.266666666666666,"(7, 9)",0.00011540124080738734,200,6,20,1,0.4,0.86,0.45999999999999996,00:01:35.400747299194336
4,500,15,30,0.025,5e-05,15.733333333333333,15.733333333333333,"(7, 9)",7.488648119025724e-05,200,6,20,1,0.43333333333333335,0.8466666666666667,0.41333333333333333,00:01:32.47784686088562
5,500,15,30,0.025,5e-05,15.866666666666667,15.866666666666667,"(7, 9)",8.071216962371199e-05,200,6,20,1,0.7133333333333334,0.9466666666666667,0.23333333333333328,00:01:0.7926328182220459
6,500,15,30,0.025,5e-05,17.666666666666668,17.666666666666668,"(7, 9)",0.00016109257637233804,200,6,20,1,0.46,0.8733333333333333,0.4133333333333333,00:02:3.075218915939331
7,500,15,30,0.025,5e-05,16.066666666666666,16.066666666666666,"(7, 9)",0.00016648800340529743,200,6,20,1,0.49333333333333335,0.82,0.3266666666666666,00:01:55.68167042732239
8,500,15,30,0.025,5e-05,15.4,15.4,"(7, 9)",6.44602360771276e-05,200,6,20,1,0.5,0.7533333333333333,0.2533333333333333,00:00:56.59108543395996
9,500,15,30,0.025,5e-05,15.2,15.2,"(7, 9)",5.675013380436131e-05,200,6,20,1,0.6466666666666666,0.92,0.27333333333333343,00:00:59.75248384475708
10,500,15,30,0.025,5e-05,14.0,14.0,"(7, 9)",0.00010233521552611767,200,6,20,1,0.6466666666666666,0.8933333333333333,0.2466666666666667,00:01:10.505943298339844
11,500,15,30,0.025,5e-05,15.333333333333334,15.333333333333334,"(7, 9)",7.53043838638069e-05,200,6,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:4.667714595794678
12,500,15,30,0.025,5e-05,15.066666666666666,15.066666666666666,"(7, 9)",0.00014019955896711145,200,6,20,1,0.34,0.9733333333333334,0.6333333333333333,00:01:24.20696997642517
