num_neur,freq,threshold,learning_rate,pre,post,diff
30,15,0.00025,5.00E-05,0.5,0.998,0.498
30,15,0.0005,5.00E-05,0.5,0.9,0.4
30,15,0.0005,0.0001,0.5,0.981,0.481
30,15,0.00075,5.00E-05,0.5,1,0.5
30,15,0.0025,5.00E-05,0.5,1,0.5
30,15,0.0025,0.0001,0.5,0.72,0.22
30,15,0.0025,0.0005,0.5,0.7,0.2
30,15,0.0025,0.001,0.5,0.6,0.1
30,15,0.005,1.00E-05,0.5,0.596,0.096
30,15,0.005,5.00E-05,0.5,0.9,0.4
30,15,0.005,0.0001,0.5,0.875,0.375
30,15,0.005,0.0005,0.5,0.7,0.2
30,15,0.005,0.001,0.5,0.6,0.1
30,15,0.005,0.005,0.5,0.625,0.125
30,15,0.0075,1.00E-05,0.5,0.619,0.119
30,15,0.0075,5.00E-05,0.5,0.962,0.462
30,15,0.0075,0.0001,0.5,0.9,0.4
30,15,0.0075,0.001,0.5,0.6,0.1
30,15,0.0075,0.005,0.5,0.8,0.3
30,15,0.025,1.00E-05,0.5,1,0.5
30,15,0.025,0.0001,0.496,1,0.504
30,15,0.025,0.0005,0.495,0.704,0.209
30,15,0.025,0.001,0.5,0.514,0.014
30,15,0.05,5.00E-05,0.501,1,0.499
30,15,0.075,5.00E-06,0.5,0.816,0.316
30,15,0.075,1.00E-05,0.5,0.9825,0.4825
30,15,0.075,5.00E-05,0.5,1,0.5
30,15,0.075,0.0001,0.50125,1,0.49875
30,15,0.075,0.0005,0.5,0.99875,0.49875
30,15,0.075,0.001,0.5,0.874,0.374
30,15,0.25,5.00E-05,0.5,1,0.5
30,15,0.25,0.0001,0.5,1,0.5
30,15,0.25,0.0005,0.5,1,0.5
30,15,0.25,0.001,0.5,1,0.5
30,15,0.25,0.005,0.5,0.897,0.397
30,15,0.5,5.00E-05,0.5,0.75375,0.25375
30,15,0.5,0.0001,0.5,0.996,0.496
30,15,0.5,0.0005,0.5,1,0.5
30,15,0.5,0.001,0.5,0.985,0.485
30,15,0.5,0.005,0.5,0.9,0.4
30,15,0.75,5.00E-05,0.5,0.591,0.091
30,15,0.75,0.0001,0.5,0.996,0.496
30,15,0.75,0.0005,0.5,0.995,0.495
30,15,0.75,0.001,0.5,1,0.5
30,15,0.75,0.005,0.5,0.993,0.493
30,50,0.00025,5.00E-06,0.5,0.68,0.18
30,50,0.00025,1.00E-05,0.5,0.87,0.37
30,50,0.00025,5.00E-05,0.5,0.735,0.235
30,50,0.00025,0.0001,0.5,0.601,0.101
30,50,0.00025,0.0005,0.5,0.507,0.007
30,50,0.0005,1.00E-05,0.5,0.929,0.429
30,50,0.0005,5.00E-05,0.5,0.7,0.2
30,50,0.0005,0.0001,0.5,0.8,0.3
30,50,0.0005,0.0005,0.5,0.6,0.1
30,50,0.00075,5.00E-06,0.5,0.626,0.126
30,50,0.00075,1.00E-05,0.5,0.893,0.393
30,50,0.00075,5.00E-05,0.5,0.868,0.368
30,50,0.00075,0.0001,0.5,0.7,0.2
30,50,0.00075,0.001,0.5,0.512,0.012
30,50,0.0025,1.00E-05,0.5,0.847,0.347
30,50,0.0025,5.00E-05,0.5,0.853,0.353
30,50,0.0025,0.0001,0.5,1,0.5
30,50,0.005,5.00E-06,0.5,0.556,0.056
30,50,0.005,1.00E-05,0.5,0.99,0.49
30,50,0.005,5.00E-05,0.5,1,0.5
30,50,0.005,0.0001,0.5,1,0.5
30,50,0.0075,5.00E-06,0.5,0.796,0.296
30,50,0.0075,1.00E-05,0.5,1,0.5
30,50,0.0075,5.00E-05,0.5,1,0.5
30,50,0.0075,0.0001,0.5,0.999,0.499
30,50,0.0075,0.0005,0.5,0.6,0.1
30,50,0.025,5.00E-06,0.5,0.794,0.294
30,50,0.025,1.00E-05,0.504,0.998,0.494
30,50,0.025,5.00E-05,0.5,1,0.5
30,50,0.025,0.0001,0.5,0.9,0.4
30,50,0.025,0.0005,0.5,0.6,0.1
30,50,0.05,1.00E-05,0.499,0.997,0.498
30,50,0.05,0.005,0.503,0.6,0.097
30,50,0.075,1.00E-05,0.495,0.998,0.503
30,50,0.075,5.00E-05,0.501,1,0.499
30,50,0.25,5.00E-06,0.5,0.878,0.378
30,50,0.25,1.00E-05,0.5,0.982,0.482
30,50,0.25,5.00E-05,0.5,1,0.5
30,50,0.25,0.0001,0.5,0.9,0.4
30,50,0.25,0.0005,0.5,1,0.5
30,50,0.25,0.001,0.5,1,0.5
30,50,0.25,0.005,0.5,0.8,0.3
30,50,0.5,5.00E-05,0.5,0.993,0.493
30,50,0.5,0.0001,0.5,1,0.5
30,50,0.5,0.0005,0.5,1,0.5
30,50,0.5,0.001,0.5,1,0.5
30,50,0.5,0.005,0.5,0.9,0.4
30,50,0.75,5.00E-05,0.5,0.9,0.4
30,50,0.75,0.0001,0.5,0.9,0.4
30,50,0.75,0.0005,0.5,1,0.5
30,50,0.75,0.001,0.5,1,0.5
30,50,0.75,0.005,0.5,1,0.5
30,100,0.00025,1.00E-06,0.5,0.5025,0.0025
30,100,0.00025,5.00E-06,0.5,0.838,0.338
30,100,0.00025,1.00E-05,0.502,0.936,0.434
30,100,0.00025,5.00E-05,0.5,0.983,0.483
30,100,0.00025,0.0001,0.5,0.548,0.048
30,100,0.0005,5.00E-06,0.5,0.734,0.234
30,100,0.0005,1.00E-05,0.5,0.949,0.449
30,100,0.0005,5.00E-05,0.5,0.871,0.371
30,100,0.0005,0.0001,0.5,0.585,0.085
30,100,0.00075,5.00E-06,0.5,0.964,0.464
30,100,0.00075,1.00E-05,0.5,0.973,0.473
30,100,0.00075,5.00E-05,0.5,0.658,0.158
30,100,0.00075,0.0001,0.5,0.545,0.045
30,100,0.0025,1.00E-06,0.5,0.523,0.023
30,100,0.0025,5.00E-06,0.5,0.992,0.492
30,100,0.0025,1.00E-05,0.5,0.912,0.412
30,100,0.0025,5.00E-05,0.5,0.98,0.48
30,100,0.005,5.00E-06,0.5,0.876,0.376
30,100,0.005,1.00E-05,0.5,1,0.5
30,100,0.005,5.00E-05,0.5,0.856,0.356
30,100,0.005,0.0001,0.5,0.625,0.125
30,100,0.0075,5.00E-06,0.5,0.862,0.362
30,100,0.0075,1.00E-05,0.5,1,0.5
30,100,0.0075,5.00E-05,0.5,0.938,0.438
