num_neur,freq,distance,span,threshold,learning_rate,pre,post,diff
30.0,15.0,0.05,3.0,0.00025,5e-05,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.00025,0.0001,0.5,0.9,0.4
30.0,15.0,0.05,3.0,0.0005,5e-05,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.0005,0.0001,0.5,0.75,0.25
30.0,15.0,0.05,3.0,0.00075,5e-05,0.5,0.995,0.49499999999999994
30.0,15.0,0.05,3.0,0.00075,0.0001,0.5,0.75,0.25
30.0,15.0,0.05,3.0,0.00075,0.0005,0.5,0.535,0.034999999999999996
30.0,15.0,0.05,3.0,0.00075,0.001,0.5,0.625,0.125
30.0,15.0,0.05,3.0,0.00075,0.005,0.5,0.6666666666666666,0.16666666666666666
30.0,15.0,0.05,3.0,0.0025,5e-05,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.0025,0.0001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.0025,0.001,0.5,0.75,0.25
30.0,15.0,0.05,3.0,0.0025,0.005,0.5,0.6,0.1
30.0,15.0,0.05,3.0,0.005,5e-05,0.5,0.875,0.375
30.0,15.0,0.05,3.0,0.005,0.0001,0.5,0.7775,0.27749999999999997
30.0,15.0,0.05,3.0,0.005,0.0005,0.5,0.625,0.125
30.0,15.0,0.05,3.0,0.005,0.005,0.5,0.625,0.125
30.0,15.0,0.05,3.0,0.0075,5e-06,0.5,0.501,0.001
30.0,15.0,0.05,3.0,0.0075,1e-05,0.5,0.74125,0.24125000000000002
30.0,15.0,0.05,3.0,0.0075,5e-05,0.5,0.9725,0.47250000000000003
30.0,15.0,0.05,3.0,0.0075,0.0001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.0075,0.0005,0.5,0.625,0.125
30.0,15.0,0.05,3.0,0.0075,0.005,0.5,0.6666666666666666,0.16666666666666666
30.0,15.0,0.05,3.0,0.025,5e-06,0.5,0.74,0.24
30.0,15.0,0.05,3.0,0.025,1e-05,0.5,0.9899999999999999,0.49
30.0,15.0,0.05,3.0,0.025,5e-05,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.025,0.0001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.025,0.0005,0.5,0.655,0.155
30.0,15.0,0.05,3.0,0.05,5e-06,0.5,0.883,0.383
30.0,15.0,0.05,3.0,0.05,5e-05,0.5025000000000001,1.0,0.49750000000000005
30.0,15.0,0.05,3.0,0.075,5e-06,0.5,0.9937499999999999,0.49374999999999997
30.0,15.0,0.05,3.0,0.075,1e-05,0.5,0.999,0.499
30.0,15.0,0.05,3.0,0.075,5e-05,0.5,0.875,0.375
30.0,15.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.075,0.0005,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.075,0.001,0.5,0.75,0.25
30.0,15.0,0.05,3.0,0.075,0.005,0.5,0.8,0.3
30.0,15.0,0.05,3.0,0.25,1e-05,0.5,0.5116666666666667,0.011666666666666667
30.0,15.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.25,0.0001,0.5,0.8629999999999999,0.363
30.0,15.0,0.05,3.0,0.25,0.0005,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.25,0.005,0.5,0.625,0.125
30.0,15.0,0.05,3.0,0.5,5e-05,0.5,0.8416666666666667,0.3416666666666666
30.0,15.0,0.05,3.0,0.5,0.0001,0.5,0.875,0.375
30.0,15.0,0.05,3.0,0.5,0.0005,0.5,0.8779999999999999,0.378
30.0,15.0,0.05,3.0,0.5,0.001,0.5,1.0,0.5
30.0,15.0,0.05,3.0,0.5,0.005,0.5,0.907,0.40700000000000003
30.0,15.0,0.05,3.0,0.75,5e-05,0.5,0.87125,0.37124999999999997
30.0,15.0,0.05,3.0,0.75,0.0001,0.5,0.99,0.49
