,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.25,5e-05,99.93333333333334,99.93333333333334,"(1, 3)",0.00013229189476790206,200,5,20,1,0.5,0.9533333333333334,0.45333333333333337,00:01:5.161898136138916
1,500,100,30,0.25,5e-05,96.86666666666666,96.86666666666666,"(1, 3)",0.00015325131201007354,200,5,20,1,0.5,0.8533333333333334,0.3533333333333334,00:01:27.886207342147827
2,500,100,30,0.25,5e-05,99.0,99.0,"(1, 3)",0.00014411321256722141,200,5,20,1,0.5,0.5733333333333334,0.07333333333333336,00:01:24.78111219406128
3,500,100,30,0.25,5e-05,99.86666666666666,99.86666666666666,"(1, 3)",0.00013399445921009572,200,5,20,1,0.5,0.86,0.36,00:01:19.285258769989014
4,500,100,30,0.25,5e-05,102.66666666666667,102.66666666666667,"(1, 3)",0.000139263745977979,200,5,20,1,0.5,0.41333333333333333,-0.08666666666666667,00:01:33.0552282333374
5,500,100,30,0.25,5e-05,93.8,93.8,"(1, 3)",0.00013655991472434316,200,5,20,1,0.5,0.5933333333333334,0.09333333333333338,00:01:31.110496759414673
6,500,100,30,0.25,5e-05,98.2,98.2,"(1, 3)",0.00014273693641634228,200,5,20,1,0.5,0.6066666666666667,0.10666666666666669,00:01:43.03672933578491
7,500,100,30,0.25,5e-05,105.26666666666667,105.26666666666667,"(1, 3)",0.00015840305670716608,200,5,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:13.771783351898193
8,500,100,30,0.25,5e-05,100.13333333333334,100.13333333333334,"(1, 3)",0.0001367238670861368,200,5,20,1,0.5,0.7133333333333334,0.21333333333333337,00:01:23.019241094589233
9,500,100,30,0.25,5e-05,100.46666666666667,100.46666666666667,"(1, 3)",0.0001423232144742891,200,5,20,1,0.5,0.96,0.45999999999999996,00:01:20.87730646133423
