,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.025,0.0001,14.066666666666666,14.066666666666666,"(1, 3)",1.783812594208652e-05,200,5,20,1,0.5733333333333334,0.8,0.22666666666666668
1,500,15,30,0.025,0.0001,15.8,15.8,"(1, 3)",4.1894693840625744e-05,200,5,20,1,0.5,0.6333333333333333,0.1333333333333333
2,500,15,30,0.025,0.0001,13.2,13.2,"(1, 3)",3.241201965137482e-05,200,5,20,1,0.43333333333333335,0.7333333333333333,0.29999999999999993
3,500,15,30,0.025,0.0001,16.066666666666666,16.066666666666666,"(1, 3)",3.382193272227975e-05,200,5,20,1,0.6,0.6133333333333333,0.013333333333333308
4,500,15,30,0.025,0.0001,15.0,15.0,"(1, 3)",2.4426710626060142e-05,200,5,20,1,0.5,0.9266666666666666,0.42666666666666664
5,500,15,30,0.025,0.0001,15.066666666666666,15.066666666666666,"(1, 3)",2.6660761309742802e-05,200,5,20,1,0.44666666666666666,0.6466666666666666,0.19999999999999996
6,500,15,30,0.025,0.0001,16.133333333333333,16.133333333333333,"(1, 3)",3.235167874416253e-05,200,5,20,1,0.5,0.9133333333333333,0.41333333333333333
7,500,15,30,0.025,0.0001,13.933333333333334,13.933333333333334,"(1, 3)",2.1847291889894148e-05,200,5,20,1,0.4666666666666667,0.7466666666666667,0.28
8,500,15,30,0.025,0.0001,14.266666666666667,14.266666666666667,"(1, 3)",2.7301037063437838e-05,200,5,20,1,0.4866666666666667,0.8066666666666666,0.31999999999999995
9,500,15,30,0.025,0.0001,15.666666666666666,15.666666666666666,"(1, 3)",3.4456938133976024e-05,200,5,20,1,0.5,0.7266666666666667,0.22666666666666668
