,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,5e-05,0.0005,12.933333333333334,12.933333333333334,"(1, 3)",3.152383242778292e-05,200,5,20,1,0.5,0.5,0.0
1,500,15,30,5e-05,0.0005,14.333333333333334,14.333333333333334,"(1, 3)",2.3247940011109065e-05,200,5,20,1,0.5,0.5,0.0
2,500,15,30,5e-05,0.0005,17.466666666666665,17.466666666666665,"(1, 3)",3.560169301010233e-05,200,5,20,1,0.5,0.92,0.42000000000000004
3,500,15,30,5e-05,0.0005,14.8,14.8,"(1, 3)",3.7542221216296116e-05,200,5,20,1,0.5,0.98,0.48
4,500,15,30,5e-05,0.0005,14.8,14.8,"(1, 3)",2.426615052269847e-05,200,5,20,1,0.5,0.5066666666666667,0.00666666666666671
5,500,15,30,5e-05,0.0005,14.066666666666666,14.066666666666666,"(1, 3)",1.8838266762751562e-05,200,5,20,1,0.5,0.5,0.0
6,500,15,30,5e-05,0.0005,15.666666666666666,15.666666666666666,"(1, 3)",2.1630164701557535e-05,200,5,20,1,0.5,0.5,0.0
7,500,15,30,5e-05,0.0005,14.0,14.0,"(1, 3)",4.458207379550975e-05,200,5,20,1,0.5,0.5,0.0
8,500,15,30,5e-05,0.0005,14.0,14.0,"(1, 3)",3.91253087907183e-05,200,5,20,1,0.5,0.5,0.0
9,500,15,30,5e-05,0.0005,14.066666666666666,14.066666666666666,"(1, 3)",3.942360932311107e-05,200,5,20,1,0.5,0.6066666666666667,0.10666666666666669
