num_neur,freq,samp_num,distance,span,threshold,learning_rate,pre,post,diff
30,15,0,0.3,6,0.025,5E-06,0.165,1,0.835
30,15,0,0.3,6,0.0025,5E-06,0.5,0.5,0
30,15,0,0.3,6,0.00025,5E-06,0.5,0.5,0
30,15,0,0.3,6,0.00025,1E-06,0.5,0.5,0
30,15,0,0.3,6,0.0025,1E-06,0.5,0.5,0
30,15,0,0.3,6,0.25,1E-06,0.5,0.5,0
30,15,0,0.3,6,0.025,1E-06,0.165,0.395,0.23
30,15,0,0.3,6,0.25,5E-06,0.5,0.5,0
30,50,0,0.3,6,0.025,5E-06,0.5,0.515,0.015
30,50,0,0.3,6,0.25,5E-06,0.5,0.635,0.135
30,50,0,0.3,6,0.25,1E-06,0.5,0.5,0
30,50,0,0.3,6,0.00025,5E-06,0.5,0.5,0
30,50,0,0.3,6,0.0025,1E-06,0.5,0.5,0
30,50,0,0.3,6,0.0025,5E-06,0.5,0.5,0
30,100,0,0.3,6,0.025,5E-06,0.95,1,0.05
30,50,0,0.3,6,0.025,1E-06,0.5,0.5,0
30,50,0,0.3,6,0.00025,1E-06,0.5,0.5,0
30,100,0,0.3,6,0.025,1E-06,0.95,1,0.05
30,100,0,0.3,6,0.0025,5E-06,0.5,1,0.5
30,100,0,0.3,6,0.25,5E-06,0.5,1,0.5
30,100,0,0.3,6,0.00025,5E-06,0.5,0.93,0.43
30,100,0,0.3,6,0.25,1E-06,0.5,0.5,0
30,100,0,0.3,6,0.0025,1E-06,0.5,0.615,0.115
30,100,0,0.3,6,0.00025,1E-06,0.5,0.51,0.01
150,15,0,0.3,6,0.25,5E-06,0.5,0.5,0
150,15,0,0.3,6,0.025,5E-06,0.5,0.5,0
150,15,0,0.3,6,0.25,1E-06,0.5,0.5,0
150,15,0,0.3,6,0.025,1E-06,0.5,0.5,0
150,15,0,0.3,6,0.0025,5E-06,0.5,0.5,0
150,15,0,0.3,6,0.00025,5E-06,0.5,0.5,0
150,15,0,0.3,6,0.0025,1E-06,0.5,0.5,0
150,15,0,0.3,6,0.00025,1E-06,0.5,0.5,0
150,50,0,0.3,6,0.25,5E-06,0.5,1,0.5
150,50,0,0.3,6,0.025,5E-06,0.5,1,0.5
150,50,0,0.3,6,0.25,1E-06,0.5,0.5,0
150,50,0,0.3,6,0.0025,5E-06,0.5,1,0.5
150,100,0,0.3,6,0.25,5E-06,0.5,1,0.5
150,50,0,0.3,6,0.00025,5E-06,0.5,0.93,0.43
150,50,0,0.3,6,0.025,1E-06,0.5,0.5,0
150,50,0,0.3,6,0.0025,1E-06,0.5,0.5,0
150,50,0,0.3,6,0.00025,1E-06,0.5,0.5,0
150,100,0,0.3,6,0.025,5E-06,0.5,1,0.5
30,15,0,0.3,6,0.00025,1E-05,0.5,0.5,0
30,15,0,0.3,6,0.0025,1E-05,0.5,0.5,0
30,15,0,0.3,6,0.025,1E-05,0.485,1,0.515
150,100,0,0.3,6,0.25,1E-06,0.5,1,0.5
30,50,0,0.3,6,0.0025,1E-05,0.5,0.995,0.495
30,50,0,0.3,6,0.00025,1E-05,0.5,0.985,0.485
30,50,0,0.3,6,0.025,1E-05,0.5,0.995,0.495
150,100,0,0.3,6,0.00025,5E-06,0.5,0.87,0.37
30,100,0,0.3,6,0.00025,1E-05,0.5,1,0.5
30,100,0,0.3,6,0.0025,1E-05,0.5,0.99,0.49
30,100,0,0.3,6,0.025,1E-05,0.5,1,0.5
150,100,0,0.3,6,0.025,1E-06,0.5,0.5,0
30,15,0,0.3,6,0.00025,5E-05,0.5,0.99,0.49
150,100,0,0.3,6,0.0025,1E-06,0.5,0.5,0
30,15,0,0.3,6,0.25,1E-05,0.5,0.5,0
150,100,0,0.3,6,0.00025,1E-06,0.5,0.5,0
30,50,0,0.3,6,0.00025,5E-05,0.5,0.675,0.175
30,50,0,0.3,6,0.25,1E-05,0.5,1,0.5
30,15,0,0.3,6,0.025,5E-05,0.62,1,0.38
30,100,0,0.3,6,0.00025,5E-05,0.5,1,0.5
30,15,0,0.3,6,0.0025,5E-05,0.5,1,0.5
30,50,0,0.3,6,0.025,5E-05,0.5,1,0.5
30,15,0,0.3,6,0.25,5E-05,0.5,1,0.5
150,15,0,0.3,6,0.00025,1E-05,0.5,0.5,0
150,15,0,0.3,6,0.0025,1E-05,0.5,0.5,0
30,100,0,0.3,6,0.25,1E-05,0.5,1,0.5
30,50,0,0.3,6,0.25,5E-05,0.5,1,0.5
30,100,0,0.3,6,0.025,5E-05,0.5,1,0.5
30,50,0,0.3,6,0.0025,5E-05,0.5,1,0.5
30,100,0,0.3,6,0.25,5E-05,0.5,1,0.5
150,15,0,0.3,6,0.00025,5E-05,0.5,0.905,0.405
30,100,0,0.3,6,0.0025,5E-05,0.5,0.99,0.49
150,15,0,0.3,6,0.025,5E-05,0.5,1,0.5
150,15,0,0.3,6,0.25,5E-05,0.5,1,0.5
150,15,0,0.3,6,0.25,1E-05,0.5,1,0.5
30,15,0,0.3,6,0.025,0.0001,0.51,1,0.49
30,15,0,0.3,6,0.0025,0.0001,0.5,0.615,0.115
150,15,0,0.3,6,0.0025,5E-05,0.5,1,0.5
30,50,0,0.3,6,0.025,0.0001,0.5,1,0.5
150,50,0,0.3,6,0.25,5E-05,0.5,1,0.5
150,50,0,0.3,6,0.0025,1E-05,0.5,0.985,0.485
150,50,0,0.3,6,0.025,5E-05,0.5,1,0.5
30,50,0,0.3,6,0.0025,0.0001,0.5,1,0.5
150,50,0,0.3,6,0.25,1E-05,0.5,1,0.5
150,50,0,0.3,6,0.00025,5E-05,0.5,0.81,0.31
30,100,0,0.3,6,0.025,0.0001,0.5,1,0.5
30,100,0,0.3,6,0.0025,0.0001,0.5,1,0.5
150,15,0,0.3,6,0.025,0.0001,0.5,1,0.5
150,50,0,0.3,6,0.0025,5E-05,0.5,0.74,0.24
150,15,0,0.3,6,0.0025,0.0001,0.5,1,0.5
150,100,0,0.3,6,0.25,5E-05,0.5,1,0.5
150,100,0,0.3,6,0.25,1E-05,0.5,1,0.5
30,15,0,0.3,6,0.25,0.0001,0.5,1,0.5
30,15,0,0.3,6,0.00025,0.0005,0.5,0.5,0
30,15,0,0.3,6,0.0025,0.0005,0.5,1,0.5
150,100,0,0.3,6,0.025,5E-05,0.5,0.5,0
30,50,0,0.3,6,0.25,0.0001,0.5,1,0.5
150,50,0,0.3,6,0.025,0.0001,0.5,1,0.5
150,100,0,0.3,6,0.0025,1E-05,0.5,0.95,0.45
30,50,0,0.3,6,0.0025,0.0005,0.5,0.5,0
30,50,0,0.3,6,0.00025,0.0005,0.5,0.5,0
30,100,0,0.3,6,0.25,0.0001,0.5,1,0.5
30,100,0,0.3,6,0.0025,0.0005,0.5,0.5,0
30,100,0,0.3,6,0.00025,0.0005,0.5,0.5,0
150,100,0,0.3,6,0.0025,5E-05,0.5,1,0.5
150,15,0,0.3,6,0.25,0.0001,0.5,1,0.5
30,15,0,0.3,6,0.25,0.0005,0.5,1,0.5
