num_neur,freq,samp_num,distance,span,threshold,learning_rate,pre,post,diff
3.0e+01,1.5e+01,4.0e+00,5.0e-02,3.0e+00,7.5e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-02,1.0e-06,9.9e-01,1.0e+00,1.0e-02
3.0e+01,1.5e+01,2.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,3.0e+00,5.0e-02,3.0e+00,5.0e-01,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.e+01,1.e+02,2.e+00,5.e-02,3.e+00,5.e-01,1.e-06,5.e-01,5.e-01,0.e+00
3.0e+01,1.5e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.50e+02,5.00e+01,3.00e+00,5.00e-02,3.00e+00,7.50e-02,1.00e-06,9.05e-01,1.00e+00,9.50e-02
3.00e+01,1.00e+02,3.00e+00,5.00e-02,3.00e+00,2.50e-03,5.00e-06,5.00e-01,1.65e-01,-3.35e-01
3.e+01,5.e+01,3.e+00,5.e-02,3.e+00,5.e-01,5.e-06,5.e-01,5.e-01,0.e+00
1.50e+02,1.50e+01,4.00e+00,5.00e-02,3.00e+00,7.50e-02,5.00e-06,2.65e-01,1.00e+00,7.35e-01
3.0e+01,5.0e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,5.0e-02,3.0e+00,5.0e-02,5.0e-06,5.0e-01,9.8e-01,4.8e-01
3.0e+01,5.0e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,2.0e+00,5.0e-02,3.0e+00,2.5e-03,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.50e+02,1.00e+02,4.00e+00,5.00e-02,3.00e+00,5.00e-04,5.00e-06,5.00e-01,8.05e-01,3.05e-01
1.5e+02,1.5e+01,2.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.e+01,1.e+02,3.e+00,5.e-02,3.e+00,5.e-01,5.e-06,5.e-01,5.e-01,0.e+00
3.0e+01,1.0e+02,0.0e+00,5.0e-02,3.0e+00,2.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,4.0e+00,5.0e-02,3.0e+00,7.5e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
