,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,12.666666666666664,12.666666666666664,"(7, 9)",8.512429897171137e-05,200,3,20,1.0,0.7466666666666667,0.9266666666666666,0.17999999999999994,00:01:53.136974573135376
1,500,15,30,0.025,5e-05,15.066666666666665,15.066666666666665,"(7, 9)",0.0001450807955172483,200,3,20,1.0,0.38666666666666666,0.78,0.39333333333333337,00:01:54.26528549194336
2,500,15,30,0.025,5e-05,15.733333333333333,15.733333333333333,"(7, 9)",7.771725702826884e-05,200,3,20,1.0,0.5866666666666667,0.7866666666666666,0.2,00:00:53.80351948738098
3,500,15,30,0.025,5e-05,13.666666666666664,13.666666666666664,"(7, 9)",7.190102702602548e-05,200,3,20,1.0,0.5,0.5266666666666666,0.026666666666666616,00:01:41.35810828208923
4,500,15,30,0.025,5e-05,15.666666666666664,15.666666666666664,"(7, 9)",0.0001013729818446174,200,3,20,1.0,0.56,0.9066666666666666,0.34666666666666657,00:01:16.240809202194214
5,500,15,30,0.025,5e-05,15.466666666666667,15.466666666666667,"(7, 9)",8.856765246532588e-05,200,3,20,1.0,0.5,0.7866666666666666,0.2866666666666666,00:01:45.53186535835266
6,500,15,30,0.025,5e-05,16.466666666666665,16.466666666666665,"(7, 9)",0.00012185096159954512,200,3,20,1.0,0.5733333333333334,0.9,0.32666666666666666,00:01:53.18261122703552
7,500,15,30,0.025,5e-05,13.4,13.4,"(7, 9)",7.8747695222502e-05,200,3,20,1.0,0.42,0.7,0.28,00:01:46.22683095932007
8,500,15,30,0.025,5e-05,14.6,14.6,"(7, 9)",0.0002221029448038088,200,3,20,1.0,0.7066666666666667,0.9533333333333334,0.2466666666666667,00:01:51.92133021354675
9,500,15,30,0.025,5e-05,15.066666666666665,15.066666666666665,"(7, 9)",0.00013771856963614576,200,3,20,1.0,0.5133333333333333,0.9333333333333332,0.42,00:01:9.502427577972412
10,500,15,30,0.025,5e-05,16.866666666666667,16.866666666666667,"(7, 9)",0.00013824455993372188,200,3,20,1.0,0.4933333333333334,0.76,0.26666666666666666,00:01:23.40316152572632
11,500,15,30,0.025,5e-05,14.133333333333333,14.133333333333333,"(7, 9)",7.735011975156402e-05,200,3,20,1.0,0.4666666666666667,0.8533333333333334,0.3866666666666667,00:01:15.326969623565674
12,500,15,30,0.025,5e-05,15.8,15.8,"(7, 9)",3.9494589788342274e-05,200,3,20,1.0,0.4133333333333333,0.5466666666666666,0.1333333333333333,00:01:44.905773639678955
13,500,15,30,0.025,5e-05,13.933333333333335,13.933333333333335,"(7, 9)",7.529183830965567e-05,200,3,20,1.0,0.6466666666666666,0.8933333333333333,0.2466666666666667,00:01:54.49241876602173
14,500,15,30,0.025,5e-05,15.666666666666664,15.666666666666664,"(7, 9)",9.336795224682469e-05,200,3,20,1.0,0.4,0.8133333333333334,0.4133333333333333,00:01:40.55886244773865
15,500,15,30,0.025,5e-05,14.333333333333336,14.333333333333336,"(7, 9)",0.00010833722534789787,200,3,20,1.0,0.44666666666666666,0.5866666666666667,0.14,00:01:48.555917739868164
16,500,15,30,0.025,5e-05,15.533333333333333,15.533333333333333,"(7, 9)",0.00010086357290470664,200,3,20,1.0,0.58,0.7733333333333333,0.19333333333333336,00:01:49.738574266433716
17,500,15,30,0.025,5e-05,14.066666666666665,14.066666666666665,"(7, 9)",0.00011663271550646871,200,3,20,1.0,0.5,0.9133333333333332,0.4133333333333333,00:01:13.694099187850952
18,500,15,30,0.025,5e-05,14.266666666666667,14.266666666666667,"(7, 9)",8.335130510068064e-05,200,3,20,1.0,0.34,0.6133333333333333,0.2733333333333333,00:01:42.95661735534668
19,500,15,30,0.025,5e-05,14.466666666666667,14.466666666666667,"(7, 9)",0.00012511564673812288,200,3,20,1.0,0.5,0.9333333333333332,0.43333333333333335,00:01:6.049649715423584
20,500,15,30,0.025,5e-05,15.733333333333333,15.733333333333333,"(7, 9)",9.162239477876012e-05,200,3,20,1.0,0.5,0.8666666666666667,0.3666666666666667,00:01:36.50910544395447
21,500,15,30,0.025,5e-05,15.266666666666667,15.266666666666667,"(7, 9)",6.431416456232745e-05,200,3,20,1.0,0.4933333333333334,0.6466666666666666,0.15333333333333327,00:01:50.15640139579773
22,500,15,30,0.025,5e-05,15.533333333333333,15.533333333333333,"(7, 9)",0.00011476021636723156,200,3,20,1.0,0.5533333333333333,0.78,0.2266666666666667,00:01:45.92957782745361
23,500,15,30,0.025,5e-05,14.333333333333336,14.333333333333336,"(7, 9)",7.714786186225544e-05,200,3,20,1.0,0.48,0.9466666666666668,0.4666666666666667,00:00:37.781370878219604
24,500,15,30,0.025,5e-05,14.133333333333333,14.133333333333333,"(7, 9)",8.916605070081054e-05,200,3,20,1.0,0.5,0.9466666666666668,0.44666666666666666,00:00:59.30232119560242
25,500,15,30,0.025,5e-05,15.533333333333333,15.533333333333333,"(7, 9)",8.447973799608474e-05,200,3,20,1.0,0.5,0.78,0.28,00:01:41.80953288078308
26,500,15,30,0.025,5e-05,15.066666666666665,15.066666666666665,"(7, 9)",0.0001143295191632566,200,3,20,1.0,0.48,0.8066666666666666,0.32666666666666666,00:01:36.819989919662476
27,500,15,30,0.025,5e-05,16.133333333333333,16.133333333333333,"(7, 9)",0.00017246957738248776,200,3,20,1.0,0.6733333333333333,0.9533333333333334,0.28,00:00:43.94671130180359
28,500,15,30,0.025,5e-05,15.6,15.6,"(7, 9)",0.00011376614293519255,200,3,20,1.0,0.5666666666666667,0.7733333333333333,0.20666666666666667,00:01:41.6261830329895
29,500,15,30,0.025,5e-05,14.733333333333333,14.733333333333333,"(7, 9)",7.258412650130935e-05,200,3,20,1.0,0.3,0.92,0.6200000000000001,00:01:23.517270803451538
30,500,15,30,0.025,5e-05,15.666666666666664,15.666666666666664,"(3, 5)",5.411240398223677e-05,200,6,20,1.0,0.52,0.9266666666666666,0.4066666666666666,00:01:32.38146758079529
31,500,15,30,0.025,5e-05,15.866666666666667,15.866666666666667,"(3, 5)",6.819557125170774e-05,200,6,20,1.0,0.6133333333333333,0.9466666666666668,0.33333333333333337,00:00:46.25959634780884
32,500,15,30,0.025,5e-05,16.533333333333335,16.533333333333335,"(3, 5)",7.311194801886674e-05,200,6,20,1.0,0.4533333333333333,0.9666666666666668,0.5133333333333334,00:01:14.853216886520386
33,500,15,30,0.025,5e-05,14.333333333333336,14.333333333333336,"(3, 5)",3.6276426824328603e-05,200,6,20,1.0,0.5333333333333333,0.9666666666666668,0.43333333333333335,00:00:40.33931565284729
34,500,15,30,0.025,5e-05,13.733333333333333,13.733333333333333,"(3, 5)",3.322902829277445e-05,200,6,20,1.0,0.5,0.9466666666666668,0.44666666666666666,00:00:49.6347713470459
35,500,15,30,0.025,5e-05,15.066666666666665,15.066666666666665,"(3, 5)",3.677100711678888e-05,200,6,20,1.0,0.12666666666666668,0.94,0.8133333333333332,00:02:0.38650083541870117
36,500,15,30,0.025,5e-05,14.466666666666667,14.466666666666667,"(3, 5)",5.695029628261825e-05,200,6,20,1.0,0.6666666666666666,0.84,0.17333333333333334,00:02:10.454688787460327
