,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,50,30,0.025,5e-05,49.13333333333333,49.13333333333333,"(1, 3)",5.483175578750453e-05,200,6,20,0.25,0.5066666666666667,0.5866666666666667,0.07999999999999996,00:02:6.614468574523926
1,500,50,30,0.025,5e-05,50.333333333333336,50.333333333333336,"(1, 3)",0.00010774283847040533,200,6,20,0.25,0.5,0.5933333333333334,0.09333333333333338,00:02:0.1744232177734375
2,500,50,30,0.025,5e-05,50.53333333333333,50.53333333333333,"(1, 3)",5.97815463205385e-05,200,6,20,0.25,0.5,0.5133333333333333,0.013333333333333308,00:01:57.90034079551697
3,500,50,30,0.025,5e-05,50.06666666666667,50.06666666666667,"(1, 3)",8.473506756240444e-05,200,6,20,0.25,0.5,0.64,0.14,00:02:8.507692337036133
4,500,50,30,0.025,5e-05,49.733333333333334,49.733333333333334,"(1, 3)",0.00010043729424064129,200,6,20,0.25,0.5,0.6133333333333333,0.11333333333333329,00:01:41.741923093795776
5,500,50,30,0.025,5e-05,46.2,46.2,"(1, 3)",8.509149930622968e-05,200,6,20,0.25,0.5,0.52,0.020000000000000018,00:02:7.736806392669678
6,500,50,30,0.025,5e-05,48.53333333333333,48.53333333333333,"(1, 3)",0.00011748587037288228,200,6,20,0.25,0.5,0.5,0.0,00:01:39.26029968261719
7,500,50,30,0.025,5e-05,49.8,49.8,"(1, 3)",7.868145577896307e-05,200,6,20,0.25,0.5,0.5866666666666667,0.08666666666666667,00:02:8.088655233383179
8,500,50,30,0.025,5e-05,51.266666666666666,51.266666666666666,"(1, 3)",8.85622564007106e-05,200,6,20,0.25,0.5,0.6933333333333334,0.19333333333333336,00:02:14.369650602340698
9,500,50,30,0.025,5e-05,46.53333333333333,46.53333333333333,"(1, 3)",8.281229364306659e-05,200,6,20,0.25,0.5,0.4866666666666667,-0.013333333333333308,00:02:10.449599266052246
10,500,50,30,0.025,5e-05,54.266666666666666,54.266666666666666,"(1, 3)",0.00012332437160742613,200,6,20,0.25,0.5,0.7133333333333334,0.21333333333333337,00:01:56.20930337905884
11,500,50,30,0.025,5e-05,49.333333333333336,49.333333333333336,"(1, 3)",9.199002172135321e-05,200,6,20,0.25,0.5,0.48,-0.020000000000000018,00:02:8.784430265426636
12,500,50,30,0.025,5e-05,50.666666666666664,50.666666666666664,"(1, 3)",8.674316065407456e-05,200,6,20,0.25,0.5,0.5066666666666667,0.00666666666666671,00:01:58.70317363739014
13,500,50,30,0.025,5e-05,48.333333333333336,48.333333333333336,"(1, 3)",5.766017024605611e-05,200,6,20,0.25,0.49333333333333335,0.4266666666666667,-0.06666666666666665,00:02:1.6262001991271973
14,500,50,30,0.025,5e-05,53.86666666666667,53.86666666666667,"(1, 3)",8.286996291444154e-05,200,6,20,0.25,0.5,0.5333333333333333,0.033333333333333326,00:02:5.270696401596069
