,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,50,30,0.025,5e-05,46.266666666666666,46.266666666666666,"(5, 7)",0.00015964137810021615,200,3,20,1,0.5,0.76,0.26,00:01:59.150914907455444
1,500,50,30,0.025,5e-05,50.0,50.0,"(5, 7)",0.00021333391021360938,200,3,20,1,0.38666666666666666,0.8933333333333333,0.5066666666666666,00:01:16.985318183898926
2,500,50,30,0.025,5e-05,51.53333333333333,51.53333333333333,"(5, 7)",0.0002144948743176158,200,3,20,1,0.48,0.94,0.45999999999999996,00:01:24.1719229221344
3,500,50,30,0.025,5e-05,50.4,50.4,"(5, 7)",0.00016814208787462156,200,3,20,1,0.5,1.0,0.5,00:00:51.0821967124939
4,500,50,30,0.025,5e-05,48.06666666666667,48.06666666666667,"(5, 7)",0.00017243682244925062,200,3,20,1,0.5,0.98,0.48,00:01:13.982052326202393
5,500,50,30,0.025,5e-05,47.266666666666666,47.266666666666666,"(5, 7)",0.00017246669756371098,200,3,20,1,0.5,0.8733333333333333,0.3733333333333333,00:01:19.386842489242554
6,500,50,30,0.025,5e-05,50.266666666666666,50.266666666666666,"(5, 7)",0.00020607089152955128,200,3,20,1,0.5266666666666666,0.9333333333333333,0.40666666666666673,00:01:5.386833906173706
7,500,50,30,0.025,5e-05,48.733333333333334,48.733333333333334,"(5, 7)",0.00017554069314942823,200,3,20,1,0.48,0.9666666666666667,0.4866666666666667,00:01:22.77768349647522
8,500,50,30,0.025,5e-05,52.13333333333333,52.13333333333333,"(5, 7)",0.0002099436964714607,200,3,20,1,0.5466666666666666,0.96,0.41333333333333333,00:00:49.4593620300293
9,500,50,30,0.025,5e-05,49.8,49.8,"(5, 7)",0.00017805090554537105,200,3,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:17.79740881919861
10,500,50,30,0.025,5e-05,50.4,50.4,"(5, 7)",0.00019067937718185934,200,3,20,1,0.52,0.94,0.41999999999999993,00:01:26.081538677215576
11,500,50,30,0.025,5e-05,49.8,49.8,"(5, 7)",0.00024125993779025747,200,3,20,1,0.4266666666666667,0.98,0.5533333333333332,00:01:15.220614671707153
12,500,50,30,0.025,5e-05,49.46666666666667,49.46666666666667,"(5, 7)",0.0001237047616488477,200,3,20,1,0.49333333333333335,0.9533333333333334,0.46,00:01:14.487292528152466
13,500,50,30,0.025,5e-05,50.666666666666664,50.666666666666664,"(5, 7)",0.00016545290622668735,200,3,20,1,0.47333333333333333,0.9933333333333333,0.52,00:01:45.107563734054565
14,500,50,30,0.025,5e-05,47.2,47.2,"(5, 7)",0.00017640974762815755,200,3,20,1,0.5733333333333334,0.9333333333333333,0.36,00:02:0.6925275325775146
15,500,50,30,0.025,5e-05,53.4,53.4,"(5, 7)",0.00019536982581934618,200,3,20,1,0.5,0.92,0.42000000000000004,00:02:0.2560389041900635
16,500,50,30,0.025,5e-05,49.0,49.0,"(5, 7)",0.0001476806576908353,200,3,20,1,0.38666666666666666,0.68,0.2933333333333334,00:02:16.238155841827393
17,500,50,30,0.025,5e-05,49.0,49.0,"(5, 7)",0.00022486446740695447,200,3,20,1,0.5,0.92,0.42000000000000004,00:01:9.621770143508911
18,500,50,30,0.025,5e-05,52.06666666666667,52.06666666666667,"(5, 7)",0.00021703303241725778,200,3,20,1,0.66,0.9866666666666667,0.32666666666666666,00:01:24.673367261886597
19,500,50,30,0.025,5e-05,50.2,50.2,"(5, 7)",0.0001605143899974967,200,3,20,1,0.5,0.8266666666666667,0.32666666666666666,00:01:31.499877214431763
20,500,50,30,0.025,5e-05,50.06666666666667,50.06666666666667,"(5, 7)",0.00017703100654516677,200,3,20,1,0.8133333333333334,1.0,0.18666666666666665,00:00:54.6499125957489
21,500,50,30,0.025,5e-05,48.93333333333333,48.93333333333333,"(5, 7)",0.00019592011321982697,200,3,20,1,0.68,0.9733333333333334,0.29333333333333333,00:00:53.11063289642334
22,500,50,30,0.025,5e-05,49.06666666666667,49.06666666666667,"(5, 7)",0.00014533574576660737,200,3,20,1,0.5,0.8,0.30000000000000004,00:02:9.671277046203613
23,500,50,30,0.025,5e-05,50.46666666666667,50.46666666666667,"(5, 7)",0.0001349367837880159,200,3,20,1,0.6466666666666666,0.74,0.09333333333333338,00:01:44.88562893867493
24,500,50,30,0.025,5e-05,50.06666666666667,50.06666666666667,"(5, 7)",0.00026789612028492606,200,3,20,1,0.5,0.9,0.4,00:01:23.46478033065796
25,500,50,30,0.025,5e-05,49.2,49.2,"(5, 7)",0.00015859592876205563,200,3,20,1,0.5,0.9666666666666667,0.4666666666666667,00:01:47.80460476875305
26,500,50,30,0.025,5e-05,49.266666666666666,49.266666666666666,"(5, 7)",0.00017478057209283963,200,3,20,1,0.5133333333333333,0.8066666666666666,0.29333333333333333,00:00:56.83905529975891
27,500,50,30,0.025,5e-05,48.4,48.4,"(5, 7)",0.00020390863914047876,200,3,20,1,0.5,0.8933333333333333,0.3933333333333333,00:01:44.38613176345825
28,500,50,30,0.025,5e-05,50.0,50.0,"(5, 7)",0.0002165310897256742,200,3,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:15.591085195541382
29,500,50,30,0.025,5e-05,49.8,49.8,"(5, 7)",0.00018018130304811144,200,3,20,1,0.5133333333333333,0.84,0.32666666666666666,00:01:47.35246229171753
