,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.025,5e-05,102.86666666666666,102.86666666666666,"(3, 5)",0.00021402466805110271,200,3,20,1,0.5,0.9466666666666667,0.44666666666666666,00:02:17.157406091690063
1,500,100,30,0.025,5e-05,98.33333333333333,98.33333333333333,"(3, 5)",0.0001845477535862231,200,3,20,1,0.3333333333333333,0.9933333333333333,0.6599999999999999,00:01:33.119240283966064
2,500,100,30,0.025,5e-05,100.53333333333333,100.53333333333333,"(3, 5)",0.00022320812451167925,200,3,20,1,0.5,0.9666666666666667,0.4666666666666667,00:01:50.542075872421265
3,500,100,30,0.025,5e-05,98.46666666666667,98.46666666666667,"(3, 5)",0.00023017342846942787,200,3,20,1,0.7533333333333333,0.9733333333333334,0.22000000000000008,00:01:22.932410717010498
4,500,100,30,0.025,5e-05,101.73333333333333,101.73333333333333,"(3, 5)",0.00022738663467094313,200,3,20,1,0.5733333333333334,0.8333333333333334,0.26,00:01:29.925539255142212
5,500,100,30,0.025,5e-05,98.13333333333334,98.13333333333334,"(3, 5)",0.00021008707434834483,200,3,20,1,0.5,0.8666666666666667,0.3666666666666667,00:02:11.349789142608643
6,500,100,30,0.025,5e-05,102.46666666666667,102.46666666666667,"(3, 5)",0.00023557473969356237,200,3,20,1,0.5,0.96,0.45999999999999996,00:01:52.18372106552124
7,500,100,30,0.025,5e-05,105.66666666666667,105.66666666666667,"(3, 5)",0.00021139007303353538,200,3,20,1,0.5,0.9666666666666667,0.4666666666666667,00:01:19.099124431610107
8,500,100,30,0.025,5e-05,101.26666666666667,101.26666666666667,"(3, 5)",0.00020108111009507795,200,3,20,1,0.5133333333333333,0.9733333333333334,0.4600000000000001,00:01:41.51669144630432
9,500,100,30,0.025,5e-05,99.33333333333333,99.33333333333333,"(3, 5)",0.00020843797120965858,200,3,20,1,0.5,0.8933333333333333,0.3933333333333333,00:01:41.23806834220886
10,500,100,30,0.025,5e-05,99.93333333333334,99.93333333333334,"(3, 5)",0.00018253810917853575,200,3,20,1,0.5,0.7733333333333333,0.2733333333333333,00:02:8.32313585281372
11,500,100,30,0.025,5e-05,98.4,98.4,"(3, 5)",0.0002046418289172564,200,3,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:10.287947416305542
12,500,100,30,0.025,5e-05,100.0,100.0,"(3, 5)",0.00024156470662686346,200,3,20,1,0.5,0.9733333333333334,0.4733333333333334,00:02:3.6053402423858643
13,500,100,30,0.025,5e-05,107.0,107.0,"(3, 5)",0.00019562056720448992,200,3,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:46.62103509902954
14,500,100,30,0.025,5e-05,100.6,100.6,"(3, 5)",0.0002404834159381702,200,3,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:29.99348211288452
15,500,100,30,0.025,5e-05,99.46666666666667,99.46666666666667,"(3, 5)",0.00020532568610587797,200,3,20,1,0.5,0.98,0.48,00:01:23.351848363876343
16,500,100,30,0.025,5e-05,97.8,97.8,"(3, 5)",0.000219588023932593,200,3,20,1,0.5,0.9533333333333334,0.45333333333333337,00:01:2.222179412841797
17,500,100,30,0.025,5e-05,96.26666666666667,96.26666666666667,"(3, 5)",0.00024874753160249164,200,3,20,1,0.5,0.98,0.48,00:01:32.5314040184021
18,500,100,30,0.025,5e-05,99.86666666666666,99.86666666666666,"(3, 5)",0.00018210568901673292,200,3,20,1,0.5,1.0,0.5,00:01:44.57014322280884
19,500,100,30,0.025,5e-05,98.26666666666667,98.26666666666667,"(3, 5)",0.00021364357849282473,200,3,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:31.16241979598999
20,500,100,30,0.025,5e-05,99.6,99.6,"(3, 5)",0.00027383905959122,200,3,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:50.35081887245178
21,500,100,30,0.025,5e-05,98.66666666666667,98.66666666666667,"(3, 5)",0.00019799194997272246,200,3,20,1,0.5666666666666667,0.9333333333333333,0.3666666666666667,00:01:17.347392320632935
22,500,100,30,0.025,5e-05,102.66666666666667,102.66666666666667,"(3, 5)",0.0002329058883218167,200,3,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:17.581719398498535
23,500,100,30,0.025,5e-05,102.8,102.8,"(3, 5)",0.00021498596913766124,200,3,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:56.96288013458252
24,500,100,30,0.025,5e-05,99.73333333333333,99.73333333333333,"(3, 5)",0.00018917034731239632,200,3,20,1,0.5,0.9933333333333333,0.4933333333333333,00:02:16.036996841430664
25,500,100,30,0.025,5e-05,98.66666666666667,98.66666666666667,"(3, 5)",0.0002646366558624549,200,3,20,1,0.34,0.98,0.6399999999999999,00:01:20.00959300994873
26,500,100,30,0.025,5e-05,98.8,98.8,"(3, 5)",0.00023289660527514022,200,3,20,1,0.5133333333333333,0.7266666666666667,0.21333333333333337,00:02:7.10299015045166
27,500,100,30,0.025,5e-05,98.06666666666666,98.06666666666666,"(3, 5)",0.0001909050102290126,200,3,20,1,0.5,0.9533333333333334,0.45333333333333337,00:01:19.414080381393433
28,500,100,30,0.025,5e-05,96.26666666666667,96.26666666666667,"(3, 5)",0.0001931877544155265,200,3,20,1,0.5,0.96,0.45999999999999996,00:01:6.341988563537598
29,500,100,30,0.025,5e-05,98.6,98.6,"(3, 5)",0.00020386727108055738,200,3,20,1,0.17333333333333334,0.9933333333333333,0.82,00:01:52.11389946937561
