,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.025,5E-05,15.6,15.6,"(1, 3)",2.21807255897049E-05,200,5,20,1,0.446666666666667,0.473333333333333,0.026666666666667
1,500,15,30,0.025,5E-05,15.7333333333333,15.7333333333333,"(1, 3)",2.34188783915905E-05,200,5,20,1,0.3,0.666666666666667,0.366666666666667
2,500,15,30,0.025,5E-05,14.6,14.6,"(1, 3)",1.40813707333786E-05,200,5,20,1,0.36,0.613333333333333,0.253333333333333
3,500,15,30,0.025,5E-05,14.2,14.2,"(1, 3)",2.83764660210028E-05,200,5,20,1,0.5,0.493333333333333,-0.006666666666667
4,500,15,30,0.025,5E-05,14.2666666666667,14.2666666666667,"(1, 3)",1.57126970820737E-05,200,5,20,1,0.473333333333333,0.453333333333333,-0.02
5,500,15,30,0.025,5E-05,16,16,"(1, 3)",2.48181593070981E-05,200,5,20,1,0.486666666666667,0.733333333333333,0.246666666666667
6,500,15,30,0.025,5E-05,14.2,14.2,"(1, 3)",3.61477577079814E-05,200,5,20,1,0.486666666666667,0.646666666666667,0.16
7,500,15,30,0.025,5E-05,16.7333333333333,16.7333333333333,"(1, 3)",1.60057091141336E-05,200,5,20,1,0.32,0.6,0.28
8,500,15,30,0.025,5E-05,14.4666666666667,14.4666666666667,"(1, 3)",2.02677283142276E-05,200,5,20,1,0.526666666666667,0.82,0.293333333333333
9,500,15,30,0.025,5E-05,12.2,12.2,"(1, 3)",2.91347342806119E-05,200,5,20,1,0.62,0.813333333333333,0.193333333333333
,,,,,,,,,,,,,,,,
,diff_mean,diff_std,post_mean,post_std,,,,,,,,,,,,
,0.157333333333333,0.222781518394753,0.649333333333333,0.221982092482065,,,,,,,,,,,,
