,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.05,0.001,16.4666666666667,16.4666666666667,"(1, 3)",4.30151424586444E-05,200,5,20,1,0.5,0.5,0
1,500,15,30,0.05,0.001,15.6,15.6,"(1, 3)",5.27984559528477E-05,200,5,20,1,0.5,0.5,0
2,500,15,30,0.05,0.001,14.9333333333333,14.9333333333333,"(1, 3)",2.25595750317129E-05,200,5,20,1,0.5,0.5,0
3,500,15,30,0.05,0.001,15.2,15.2,"(1, 3)",3.33724647702467E-05,200,5,20,1,0.5,0.5,0
4,500,15,30,0.05,0.001,14.5333333333333,14.5333333333333,"(1, 3)",2.6306066044067E-05,200,5,20,1,0.5,0.613333333333333,0.113333333333333
5,500,15,30,0.05,0.001,13,13,"(1, 3)",1.44665321502377E-05,200,5,20,1,0.5,0.54,0.04
6,500,15,30,0.05,0.001,13.2,13.2,"(1, 3)",2.37557500402232E-05,200,5,20,1,0.5,0.5,0
7,500,15,30,0.05,0.001,15.6,15.6,"(1, 3)",3.21267259250007E-05,200,5,20,1,0.5,0.5,0
8,500,15,30,0.05,0.001,15.4,15.4,"(1, 3)",5.04858783269877E-05,200,5,20,1,0.506666666666667,0.506666666666667,0
9,500,15,30,0.05,0.001,12.2,12.2,"(1, 3)",3.11958207292792E-05,200,5,20,1,0.5,0.5,0
